;Married;Number of Dependents;Zip Code;Number of Referrals;Tenure in Months;Offer;Internet Type;Avg Monthly GB Download;Contract;Paperless Billing;Payment Method;Monthly Charge;Age_disc;Total Streaming;Premium Services;Refunds;Average Monthly Extra Data Charges;Churn Status
2224;Yes;0;934;1;39;None;Fiber Optic;21.0;Month-to-Month;Yes;Bank Withdrawal;101.25;75;3;3;0.0;0.0;Customer
2225;Yes;1;921;1;16;Offer D;DSL;59.0;Month-to-Month;No;Bank Withdrawal;84.9;20;3;5;0.0;0.0;Customer
2226;Yes;0;928;1;5;None;None;0.0;One Year;No;Credit Card;20.1;30;0;0;0.0;0.0;Customer
2227;No;0;932;0;11;None;Fiber Optic;4.0;Month-to-Month;Yes;Bank Withdrawal;76.5;50;0;2;0.0;0.0;Churned
2228;No;0;935;0;1;None;Fiber Optic;46.0;Month-to-Month;Yes;Bank Withdrawal;88.35;25;3;1;0.0;0.0;Churned
2229;No;0;960;0;24;None;DSL;22.0;Month-to-Month;Yes;Bank Withdrawal;51.15;60;0;2;0.0;0.0;Customer
2230;No;0;902;0;11;None;DSL;3.0;Two Year;Yes;Bank Withdrawal;55.6;75;0;3;1.0;0.0;Customer
2231;No;0;952;0;45;Offer B;Fiber Optic;18.0;Two Year;Yes;Bank Withdrawal;93.9;75;2;2;0.0;0.0;Customer
2232;Yes;0;923;1;1;None;Cable;5.0;Month-to-Month;Yes;Bank Withdrawal;95.0;40;3;2;0.0;0.0;Churned
2233;Yes;1;941;0;30;Offer C;Fiber Optic;58.0;One Year;No;Bank Withdrawal;86.45;55;2;2;0.0;0.0;Customer
2234;No;0;959;0;31;Offer C;Fiber Optic;76.0;Month-to-Month;Yes;Bank Withdrawal;101.4;20;3;3;0.0;0.0;Customer
2235;Yes;0;935;1;68;None;Cable;24.0;Month-to-Month;Yes;Bank Withdrawal;100.2;75;3;3;0.0;0.0;Churned
2236;No;0;959;0;54;None;None;0.0;Two Year;No;Credit Card;19.65;25;0;0;0.0;0.0;Customer
2237;Yes;0;950;1;17;None;Cable;16.0;Month-to-Month;Yes;Credit Card;100.45;75;2;3;0.0;0.0;Churned
2238;Yes;0;922;1;46;Offer B;Fiber Optic;3.0;Month-to-Month;Yes;Bank Withdrawal;80.4;70;1;0;0.0;0.43478260869565216;Churned
2239;No;0;925;0;29;Offer C;Fiber Optic;82.0;Month-to-Month;Yes;Bank Withdrawal;74.2;25;0;2;0.0;0.0;Customer
2240;No;0;956;0;71;None;Fiber Optic;48.0;One Year;Yes;Bank Withdrawal;116.3;20;3;6;0.0;0.0;Customer
2241;No;0;925;0;23;Offer D;Fiber Optic;23.0;Month-to-Month;No;Bank Withdrawal;75.6;45;0;2;0.0;0.0;Churned
2242;Yes;1;902;1;61;Offer B;Fiber Optic;19.0;One Year;Yes;Credit Card;100.7;60;2;4;0.0;1.4754098360655739;Customer
2243;Yes;1;920;1;46;Offer B;DSL;15.0;One Year;No;Credit Card;56.9;50;0;4;0.0;0.0;Customer
2244;Yes;1;956;1;50;None;Fiber Optic;19.0;One Year;Yes;Bank Withdrawal;108.25;35;3;5;0.0;0.0;Customer
2245;No;0;956;0;33;None;DSL;24.0;Month-to-Month;Yes;Credit Card;60.9;40;0;4;0.0;0.0;Customer
2246;No;0;940;0;10;None;Fiber Optic;6.0;Month-to-Month;Yes;Bank Withdrawal;110.1;55;3;5;0.0;0.0;Churned
2247;No;0;921;0;7;None;Fiber Optic;26.0;Month-to-Month;Yes;Bank Withdrawal;73.85;30;1;2;1.0;0.0;Churned
2248;Yes;0;945;1;8;None;Fiber Optic;22.0;Month-to-Month;Yes;Bank Withdrawal;84.0;75;1;2;0.0;0.0;Churned
2249;Yes;0;936;1;7;None;Cable;11.0;Month-to-Month;Yes;Bank Withdrawal;95.6;75;2;2;0.0;0.0;Churned
2250;Yes;1;921;1;32;None;DSL;59.0;Two Year;No;Credit Card;73.6;25;2;5;1.0;0.0;Customer
2251;No;0;911;0;11;None;DSL;21.0;Month-to-Month;No;Bank Withdrawal;51.1;65;0;2;0.0;0.0;Customer
2252;Yes;1;932;1;71;Offer A;Fiber Optic;12.0;Two Year;Yes;Credit Card;95.75;60;2;4;0.0;0.0;Customer
2253;Yes;1;920;0;69;Offer A;Fiber Optic;24.0;Two Year;Yes;Bank Withdrawal;93.3;60;2;4;0.0;0.0;Customer
2254;Yes;0;953;1;43;None;Fiber Optic;5.0;One Year;Yes;Bank Withdrawal;94.3;70;1;4;0.0;0.0;Customer
2255;Yes;0;923;0;35;None;Fiber Optic;51.0;Month-to-Month;Yes;Bank Withdrawal;89.85;30;2;2;0.0;0.5714285714285714;Customer
2256;No;0;955;0;59;Offer B;DSL;73.0;One Year;No;Credit Card;79.85;25;2;6;0.0;0.0;Customer
2257;No;0;934;0;42;None;None;0.0;One Year;No;Bank Withdrawal;19.8;55;0;0;0.0;0.0;Customer
2258;Yes;0;906;1;51;Offer B;Fiber Optic;30.0;Month-to-Month;Yes;Bank Withdrawal;93.8;80;1;4;0.0;0.0;Churned
2259;Yes;0;953;1;64;None;DSL;51.0;Two Year;No;Mailed Check;69.25;30;1;4;0.0;0.0;Customer
2260;No;0;935;0;66;Offer A;None;0.0;Two Year;No;Bank Withdrawal;19.7;50;0;0;0.0;0.0;Customer
2261;Yes;0;910;1;42;None;Fiber Optic;13.0;Month-to-Month;Yes;Credit Card;85.9;60;0;4;0.0;0.0;Customer
2262;Yes;1;900;1;1;Offer E;None;0.0;Month-to-Month;Yes;Credit Card;20.15;55;0;0;0.0;0.0;Churned
2263;Yes;0;958;1;31;None;Fiber Optic;12.0;Month-to-Month;No;Credit Card;88.65;45;1;3;0.0;0.0;Customer
2264;No;0;960;0;2;Offer E;Fiber Optic;23.0;Month-to-Month;Yes;Bank Withdrawal;79.75;75;1;0;0.0;5.0;Churned
2265;Yes;0;920;1;71;Offer A;Fiber Optic;85.0;Two Year;Yes;Credit Card;104.15;25;3;4;0.0;0.0;Customer
2266;No;0;925;0;18;Offer D;None;0.0;Month-to-Month;No;Bank Withdrawal;19.0;40;0;0;0.0;0.0;Customer
2267;No;0;922;0;12;Offer D;Cable;23.0;One Year;Yes;Bank Withdrawal;59.8;45;1;2;0.0;0.0;Churned
2268;Yes;1;936;1;20;Offer D;None;0.0;Month-to-Month;Yes;Bank Withdrawal;25.55;45;0;1;0.0;0.0;Customer
2269;Yes;0;955;1;71;None;DSL;24.0;One Year;Yes;Bank Withdrawal;71.0;70;1;4;0.0;0.0;Customer
2270;Yes;0;960;1;61;None;Fiber Optic;29.0;Month-to-Month;Yes;Bank Withdrawal;106.2;40;3;4;0.0;0.0;Customer
2271;No;0;932;0;65;None;Fiber Optic;21.0;Two Year;Yes;Bank Withdrawal;95.45;70;1;4;0.0;0.0;Customer
2272;Yes;1;907;1;71;Offer A;Cable;20.0;Two Year;Yes;Credit Card;90.55;45;3;6;0.0;0.0;Customer
2273;Yes;1;948;1;68;Offer A;Fiber Optic;24.0;Two Year;Yes;Bank Withdrawal;114.7;60;3;6;0.0;0.0;Customer
2274;Yes;0;910;1;32;None;Fiber Optic;10.0;Month-to-Month;No;Bank Withdrawal;85.3;75;2;2;0.0;0.0;Churned
2275;Yes;1;952;1;19;Offer D;Cable;21.0;One Year;Yes;Bank Withdrawal;48.95;60;0;2;0.0;0.0;Customer
2276;Yes;0;926;0;64;None;None;0.0;Two Year;No;Credit Card;25.65;75;0;1;0.0;0.0;Customer
2277;No;1;960;0;19;Offer D;None;0.0;Two Year;No;Credit Card;20.5;30;0;0;1.0;0.0;Customer
2278;Yes;0;954;1;21;Offer D;Cable;14.0;One Year;No;Mailed Check;77.5;35;1;4;1.0;3.8095238095238093;Churned
2279;Yes;1;953;1;4;Offer E;None;0.0;One Year;No;Credit Card;24.1;55;0;1;0.0;0.0;Customer
2280;Yes;0;932;1;52;None;Fiber Optic;18.0;One Year;Yes;Bank Withdrawal;106.5;70;2;3;0.0;1.7307692307692308;Customer
2281;Yes;1;900;1;16;Offer D;None;0.0;Two Year;No;Credit Card;19.7;45;0;0;0.0;0.0;Customer
2282;Yes;1;956;1;12;None;DSL;52.0;Month-to-Month;Yes;Credit Card;58.35;50;1;2;0.0;0.0;Customer
2283;No;0;954;0;6;None;Fiber Optic;59.0;Month-to-Month;Yes;Mailed Check;99.95;25;3;3;0.0;0.0;Churned
2284;Yes;1;913;1;24;Offer C;None;0.0;Two Year;Yes;Bank Withdrawal;24.1;20;0;1;0.0;0.0;Customer
2285;No;0;956;0;1;Offer E;Cable;22.0;Month-to-Month;Yes;Mailed Check;44.45;65;0;1;0.0;0.0;Churned
2286;No;0;902;0;1;Offer E;Fiber Optic;15.0;Month-to-Month;Yes;Bank Withdrawal;69.6;70;0;1;0.0;0.0;Churned
2287;Yes;0;944;1;65;Offer B;Fiber Optic;15.0;One Year;Yes;Credit Card;108.05;30;3;5;0.0;0.0;Customer
2288;No;0;904;0;13;Offer D;Fiber Optic;41.0;Month-to-Month;No;Bank Withdrawal;100.75;30;3;2;0.0;9.23076923076923;Customer
2289;Yes;1;903;1;25;Offer C;Fiber Optic;12.0;Month-to-Month;Yes;Bank Withdrawal;98.5;80;2;3;1.0;0.0;Churned
2290;Yes;0;949;1;1;None;Fiber Optic;21.0;Month-to-Month;Yes;Bank Withdrawal;80.3;80;0;3;0.0;0.0;Churned
2291;Yes;0;937;0;62;None;DSL;25.0;One Year;No;Credit Card;71.4;45;2;4;0.0;0.0;Customer
2292;No;0;959;0;18;None;Fiber Optic;20.0;Month-to-Month;No;Credit Card;74.15;65;0;2;0.0;0.0;Customer
2293;Yes;1;944;0;12;None;None;0.0;Two Year;Yes;Bank Withdrawal;24.0;55;0;1;0.0;0.0;Customer
2294;Yes;0;959;1;17;Offer D;DSL;27.0;One Year;No;Bank Withdrawal;54.6;30;3;3;1.0;0.0;Customer
2295;No;0;961;0;69;None;Cable;26.0;Two Year;Yes;Credit Card;81.5;45;2;6;0.0;0.0;Customer
2296;No;0;932;0;1;Offer E;Cable;27.0;Month-to-Month;Yes;Bank Withdrawal;89.55;40;3;1;0.0;0.0;Churned
2297;No;0;953;0;4;Offer E;DSL;19.0;Month-to-Month;No;Bank Withdrawal;54.3;65;2;0;0.0;20.0;Churned
2298;Yes;0;932;1;2;Offer E;None;0.0;One Year;No;Mailed Check;19.85;40;0;0;0.0;0.0;Churned
2299;Yes;0;914;1;53;Offer B;Fiber Optic;20.0;One Year;Yes;Bank Withdrawal;108.95;35;3;5;0.0;0.0;Customer
2300;Yes;1;939;1;72;Offer A;Fiber Optic;11.0;Two Year;No;Credit Card;110.9;30;3;4;0.0;1.8055555555555556;Customer
2301;Yes;0;954;1;60;Offer B;Fiber Optic;22.0;Month-to-Month;Yes;Bank Withdrawal;106.15;50;3;4;0.0;0.0;Customer
2302;No;0;941;0;3;None;Fiber Optic;11.0;Month-to-Month;Yes;Bank Withdrawal;79.4;75;0;3;0.0;0.0;Churned
2303;No;0;953;0;37;None;None;0.0;One Year;No;Credit Card;20.15;35;0;0;0.0;0.0;Customer
2304;No;1;920;0;33;Offer C;Fiber Optic;53.0;Month-to-Month;Yes;Bank Withdrawal;95.3;55;2;4;0.0;0.0;Customer
2305;No;0;928;0;17;Offer D;None;0.0;Month-to-Month;No;Credit Card;19.7;25;0;0;0.0;0.0;Customer
2306;No;0;951;0;10;Offer D;DSL;4.0;Month-to-Month;Yes;Bank Withdrawal;34.7;65;1;1;0.0;0.0;Churned
2307;Yes;1;960;1;41;None;Fiber Optic;59.0;Month-to-Month;Yes;Bank Withdrawal;94.9;25;3;2;0.0;0.0;Customer
2308;Yes;0;900;1;66;None;Fiber Optic;41.0;One Year;No;Bank Withdrawal;120.33560606060605;30;3;6;0.0;0.0;Customer
2309;Yes;1;957;1;72;None;DSL;27.0;Two Year;Yes;Credit Card;83.55;25;3;4;0.0;1.25;Customer
2310;Yes;0;955;0;4;Offer E;None;0.0;Month-to-Month;No;Credit Card;20.35;35;0;0;0.0;0.0;Churned
2311;No;0;955;0;10;None;DSL;30.0;Month-to-Month;Yes;Credit Card;33.9;40;2;1;0.0;0.0;Churned
2312;No;0;917;0;30;None;Fiber Optic;14.0;Two Year;Yes;Credit Card;90.5;70;1;3;0.0;0.0;Customer
2313;Yes;1;926;1;7;Offer E;Cable;51.0;Month-to-Month;No;Credit Card;69.7;65;3;2;0.0;0.0;Customer
2314;No;0;913;0;51;None;None;0.0;One Year;No;Bank Withdrawal;25.0;65;0;1;0.0;0.0;Customer
2315;No;0;953;0;15;None;Fiber Optic;29.0;Month-to-Month;Yes;Bank Withdrawal;83.2;60;1;2;0.0;0.0;Customer
2316;No;0;925;0;3;None;Fiber Optic;27.0;Month-to-Month;Yes;Bank Withdrawal;74.25;45;0;2;0.0;0.0;Churned
2317;Yes;1;920;1;72;None;DSL;47.0;Two Year;No;Credit Card;90.95;20;3;6;0.0;0.0;Customer
2318;No;0;907;0;55;None;DSL;5.0;One Year;No;Bank Withdrawal;45.05;50;0;1;0.0;0.0;Customer
2319;No;0;922;0;16;Offer D;Fiber Optic;24.0;Two Year;No;Bank Withdrawal;69.65;65;0;1;0.0;0.0;Customer
2320;Yes;1;946;1;10;None;None;0.0;Month-to-Month;Yes;Credit Card;20.05;55;0;0;0.0;0.0;Customer
2321;Yes;0;961;1;30;None;None;0.0;Two Year;No;Credit Card;19.05;65;0;0;0.0;0.0;Customer
2322;Yes;1;903;1;22;None;Cable;27.0;Month-to-Month;Yes;Bank Withdrawal;51.1;30;0;2;0.0;0.0;Customer
2323;Yes;1;921;1;28;Offer C;DSL;30.0;Month-to-Month;No;Credit Card;49.9;35;0;2;0.0;0.0;Customer
2324;Yes;0;930;1;59;None;Fiber Optic;12.0;One Year;Yes;Credit Card;81.25;45;0;3;0.0;0.0;Customer
2325;No;0;931;0;4;Offer E;None;0.0;Month-to-Month;Yes;Credit Card;20.15;55;0;0;0.0;0.0;Customer
2326;No;0;922;0;49;Offer B;DSL;30.0;Month-to-Month;Yes;Credit Card;59.75;40;0;4;0.0;0.0;Churned
2327;Yes;1;959;1;18;Offer D;None;0.0;One Year;No;Bank Withdrawal;20.05;55;0;0;0.0;0.0;Customer
2328;Yes;0;954;1;68;None;Fiber Optic;3.0;One Year;Yes;Bank Withdrawal;100.3;45;3;2;0.0;1.3235294117647058;Customer
2329;No;0;921;0;36;Offer C;Fiber Optic;42.0;Month-to-Month;Yes;Bank Withdrawal;84.75;20;2;2;0.0;0.0;Churned
2330;Yes;1;945;1;49;None;DSL;28.0;Month-to-Month;No;Bank Withdrawal;61.75;35;0;4;0.0;0.0;Customer
2331;No;0;950;0;1;None;Cable;9.0;Month-to-Month;Yes;Bank Withdrawal;25.1;65;0;1;0.0;0.0;Churned
2332;No;0;959;0;1;Offer E;Fiber Optic;9.0;Month-to-Month;No;Mailed Check;71.1;40;0;1;0.0;0.0;Churned
2333;No;0;900;0;15;Offer D;DSL;8.0;Month-to-Month;Yes;Mailed Check;55.7;60;0;3;0.0;0.0;Churned
2334;No;0;960;0;5;None;None;0.0;Month-to-Month;No;Credit Card;20.05;25;0;0;0.0;0.0;Customer
2335;No;0;922;0;34;None;Fiber Optic;76.0;Month-to-Month;No;Bank Withdrawal;85.35;25;1;1;0.0;0.0;Customer
2336;No;0;921;0;43;Offer B;Fiber Optic;28.0;Month-to-Month;Yes;Credit Card;75.35;40;0;2;0.0;0.0;Customer
2337;Yes;1;924;1;72;Offer A;Fiber Optic;20.0;Two Year;Yes;Credit Card;84.5;60;2;2;0.0;0.0;Customer
2338;No;0;954;0;10;None;None;0.0;Month-to-Month;Yes;Bank Withdrawal;21.2;50;0;0;0.0;0.0;Customer
2339;No;0;917;0;41;Offer B;DSL;30.0;One Year;No;Mailed Check;65.0;35;2;2;0.0;3.4146341463414633;Customer
2340;Yes;0;917;1;72;Offer A;Fiber Optic;22.0;Two Year;Yes;Credit Card;109.95;60;3;5;0.0;0.0;Customer
2341;No;0;949;0;68;None;DSL;58.0;Two Year;No;Credit Card;38.9;20;0;4;0.0;0.0;Customer
2342;Yes;0;945;1;44;None;Cable;28.0;Month-to-Month;Yes;Bank Withdrawal;30.35;75;0;2;0.0;0.0;Churned
2343;Yes;1;910;1;27;Offer C;DSL;30.0;Month-to-Month;No;Credit Card;49.85;35;0;2;0.0;0.0;Customer
2344;No;0;919;0;1;None;Cable;22.0;Month-to-Month;Yes;Bank Withdrawal;45.65;45;0;1;0.0;0.0;Churned
2345;No;0;935;0;34;None;DSL;28.0;Two Year;Yes;Bank Withdrawal;56.25;70;2;3;0.0;0.0;Customer
2346;Yes;0;952;1;13;Offer D;Fiber Optic;11.0;Month-to-Month;Yes;Mailed Check;96.65;55;3;2;0.0;0.0;Churned
2347;No;0;960;0;68;None;Fiber Optic;21.0;One Year;No;Credit Card;79.6;50;0;2;1.0;0.14705882352941177;Customer
2348;No;0;956;0;2;None;Fiber Optic;18.0;Month-to-Month;Yes;Bank Withdrawal;95.85;65;3;2;0.0;0.0;Churned
2349;No;0;932;0;65;Offer B;None;0.0;Two Year;No;Bank Withdrawal;26.5;40;0;1;0.0;0.0;Customer
2350;No;0;945;0;22;None;DSL;8.0;Month-to-Month;Yes;Bank Withdrawal;50.6;35;3;2;0.0;0.0;Customer
2351;Yes;0;902;1;1;None;Fiber Optic;11.0;Month-to-Month;Yes;Bank Withdrawal;95.1;70;2;2;0.0;0.0;Churned
2352;No;0;959;0;70;None;DSL;28.0;Two Year;No;Bank Withdrawal;79.6;60;3;4;1.0;0.0;Customer
2353;Yes;1;923;1;57;Offer B;Fiber Optic;22.0;One Year;Yes;Bank Withdrawal;95.0;35;3;2;0.0;0.0;Customer
2354;No;0;921;0;45;None;Cable;51.0;Month-to-Month;Yes;Bank Withdrawal;87.25;30;0;4;0.0;0.0;Churned
2355;Yes;1;912;1;52;None;None;0.0;Two Year;No;Bank Withdrawal;20.1;20;0;0;1.0;0.0;Customer
2356;No;0;920;0;46;Offer B;DSL;18.0;One Year;No;Credit Card;33.7;35;0;3;0.0;0.0;Customer
2357;Yes;0;910;1;6;Offer E;DSL;27.0;Month-to-Month;No;Credit Card;45.65;25;0;1;0.0;0.0;Customer
2358;Yes;0;907;1;42;None;Fiber Optic;7.0;One Year;Yes;Bank Withdrawal;105.2;80;3;4;1.0;0.0;Customer
2359;Yes;1;933;1;67;Offer A;Cable;26.0;Two Year;Yes;Bank Withdrawal;54.2;40;0;2;0.0;0.14925373134328357;Customer
2360;Yes;1;951;1;61;None;DSL;41.0;Two Year;Yes;Bank Withdrawal;81.0;25;3;4;0.0;0.0;Customer
2361;No;0;900;0;1;None;DSL;21.0;Month-to-Month;No;Credit Card;46.3;40;0;1;0.0;0.0;Churned
2362;Yes;0;923;1;55;None;DSL;69.0;One Year;No;Credit Card;59.45;25;2;1;0.0;0.7272727272727273;Customer
2363;Yes;1;923;1;52;None;DSL;22.0;One Year;Yes;Bank Withdrawal;80.85;70;3;4;0.0;0.0;Customer
2364;Yes;0;928;1;72;Offer A;DSL;24.0;Two Year;Yes;Credit Card;89.55;75;2;6;0.0;0.0;Customer
2365;No;0;940;0;26;Offer C;None;0.0;One Year;No;Credit Card;19.3;65;0;0;1.0;0.0;Customer
2366;Yes;0;902;1;48;None;None;0.0;Two Year;No;Bank Withdrawal;20.65;25;0;0;0.0;0.0;Customer
2367;Yes;1;904;1;48;Offer B;DSL;27.0;One Year;No;Bank Withdrawal;69.7;20;1;4;0.0;0.0;Customer
2368;No;0;958;0;13;None;Fiber Optic;4.0;Month-to-Month;Yes;Bank Withdrawal;84.45;60;0;4;0.0;0.0;Churned
2369;Yes;0;939;1;23;None;DSL;29.0;One Year;Yes;Bank Withdrawal;68.75;40;2;4;0.0;0.0;Customer
2370;Yes;1;958;1;40;None;None;0.0;Two Year;No;Credit Card;25.25;45;0;1;1.0;0.0;Customer
2371;No;0;907;0;12;Offer D;DSL;7.0;Two Year;No;Credit Card;49.85;60;2;4;0.0;0.0;Customer
2372;No;0;949;0;59;None;None;0.0;Two Year;Yes;Bank Withdrawal;20.2;45;0;0;0.0;0.0;Customer
2373;No;0;940;0;33;Offer C;DSL;5.0;Month-to-Month;Yes;Bank Withdrawal;54.65;60;0;3;0.0;0.0;Customer
2374;Yes;0;931;1;31;None;DSL;15.0;One Year;Yes;Credit Card;75.5;40;2;5;0.0;0.0;Customer
2375;No;0;961;0;22;Offer D;DSL;24.0;Month-to-Month;Yes;Credit Card;59.05;35;0;4;0.0;0.0;Customer
2376;Yes;0;945;1;72;Offer A;None;0.0;Two Year;No;Bank Withdrawal;20.7;20;0;0;0.0;0.0;Customer
2377;Yes;0;902;1;72;Offer A;Cable;17.0;Two Year;No;Bank Withdrawal;42.1;35;0;4;0.0;0.0;Customer
2378;No;0;932;0;49;Offer B;Fiber Optic;2.0;Month-to-Month;Yes;Bank Withdrawal;96.2;65;2;2;0.0;0.0;Churned
2379;No;0;955;0;51;Offer B;Fiber Optic;2.0;Month-to-Month;Yes;Bank Withdrawal;99.0;35;3;3;0.0;0.0;Customer
2380;No;0;940;0;6;None;Fiber Optic;24.0;Month-to-Month;No;Bank Withdrawal;83.9;40;2;2;0.0;0.0;Churned
2381;No;0;956;0;29;Offer C;Fiber Optic;21.0;One Year;Yes;Bank Withdrawal;101.45;80;2;2;0.0;2.0689655172413794;Customer
2382;Yes;1;920;0;70;None;None;0.0;Two Year;No;Credit Card;25.15;30;0;1;0.0;0.0;Customer
2383;Yes;0;926;1;7;None;Fiber Optic;22.0;Month-to-Month;Yes;Credit Card;70.1;75;0;1;1.0;0.0;Churned
2384;No;0;900;0;49;None;DSL;3.0;Two Year;No;Credit Card;43.8;80;0;1;1.0;0.0;Customer
2385;No;0;935;0;5;None;DSL;29.0;Month-to-Month;Yes;Credit Card;44.05;45;0;1;0.0;0.0;Customer
2386;No;0;936;0;4;None;Fiber Optic;7.0;Two Year;Yes;Bank Withdrawal;74.45;65;0;2;0.0;0.0;Customer
2387;Yes;1;917;1;72;Offer A;None;0.0;Two Year;No;Bank Withdrawal;25.2;65;0;1;0.0;0.0;Customer
2388;No;0;945;0;24;None;None;0.0;One Year;No;Bank Withdrawal;21.05;55;0;0;0.0;0.0;Customer
2389;Yes;0;960;1;67;Offer A;Fiber Optic;73.0;One Year;Yes;Bank Withdrawal;105.7;25;3;4;0.0;0.0;Customer
2390;Yes;0;905;1;3;None;Fiber Optic;24.0;Month-to-Month;Yes;Credit Card;74.1;55;0;2;0.0;0.0;Churned
2391;No;0;925;0;1;Offer E;Fiber Optic;23.0;Month-to-Month;Yes;Bank Withdrawal;74.2;70;0;2;0.0;0.0;Churned
2392;No;0;936;0;10;None;Fiber Optic;30.0;Month-to-Month;Yes;Bank Withdrawal;98.5;35;3;2;0.0;11.0;Churned
2393;Yes;0;951;1;1;Offer E;Fiber Optic;30.0;Month-to-Month;Yes;Bank Withdrawal;90.6;75;1;3;0.0;0.0;Churned
2394;No;0;900;0;41;None;Fiber Optic;22.0;Month-to-Month;Yes;Bank Withdrawal;106.3;65;3;3;0.0;3.1707317073170733;Churned
2395;Yes;0;953;1;57;None;Fiber Optic;29.0;Two Year;No;Bank Withdrawal;107.95;30;3;4;0.0;0.0;Customer
2396;Yes;0;956;1;31;Offer C;Cable;28.0;Month-to-Month;Yes;Credit Card;66.4;55;2;3;0.0;0.0;Customer
2397;No;0;952;0;15;None;Cable;23.0;Month-to-Month;No;Bank Withdrawal;48.85;35;0;2;0.0;0.0;Customer
2398;No;1;919;0;70;Offer A;Fiber Optic;17.0;Two Year;Yes;Bank Withdrawal;114.6;35;3;6;0.0;0.0;Customer
2399;No;0;916;0;23;Offer D;DSL;8.0;One Year;No;Bank Withdrawal;55.8;55;0;3;0.0;0.0;Customer
2400;Yes;0;959;1;49;Offer B;Fiber Optic;27.0;One Year;Yes;Credit Card;99.25;25;3;3;0.0;0.0;Customer
2401;No;0;921;0;16;None;DSL;24.0;Month-to-Month;Yes;Mailed Check;39.0;70;1;2;0.0;0.0;Churned
2402;No;0;917;0;68;None;Fiber Optic;7.0;Two Year;Yes;Bank Withdrawal;102.1;40;2;5;0.0;0.0;Customer
2403;No;0;923;0;1;Offer E;Fiber Optic;13.0;Month-to-Month;No;Credit Card;69.55;55;0;1;0.0;0.0;Churned
2404;No;0;932;0;57;None;Fiber Optic;7.0;One Year;No;Bank Withdrawal;94.7;45;2;4;0.0;0.0;Customer
2405;Yes;0;922;1;29;None;Fiber Optic;17.0;Month-to-Month;Yes;Bank Withdrawal;74.95;60;0;2;0.0;0.0;Customer
2406;Yes;0;945;1;71;Offer A;None;0.0;Two Year;No;Credit Card;25.45;80;0;1;0.0;0.0;Customer
2407;Yes;0;906;1;37;None;None;0.0;Month-to-Month;No;Bank Withdrawal;19.5;55;0;0;0.0;0.0;Customer
2408;No;0;954;0;66;Offer A;Fiber Optic;8.0;Month-to-Month;No;Credit Card;89.4;55;2;2;1.0;0.6060606060606061;Customer
2409;Yes;1;912;1;8;Offer E;DSL;20.0;Month-to-Month;Yes;Bank Withdrawal;51.05;45;0;2;0.0;0.0;Churned
2410;Yes;0;902;1;68;Offer A;None;0.0;Two Year;No;Credit Card;25.05;20;0;1;0.0;0.0;Customer
2411;Yes;0;956;1;10;Offer D;DSL;9.0;Month-to-Month;Yes;Credit Card;54.95;35;0;3;0.0;0.0;Customer
2412;No;1;921;0;31;Offer C;Cable;51.0;Month-to-Month;No;Credit Card;25.0;20;0;1;1.0;0.0;Customer
2413;No;0;940;0;8;None;DSL;24.0;Month-to-Month;Yes;Bank Withdrawal;60.0;45;1;2;0.0;0.0;Customer
2414;No;0;936;0;6;Offer E;DSL;5.0;Month-to-Month;Yes;Bank Withdrawal;59.15;60;2;2;0.0;0.0;Customer
2415;Yes;1;906;1;69;Offer A;Fiber Optic;56.0;Two Year;Yes;Mailed Check;92.15;55;1;3;0.0;0.0;Customer
2416;No;0;911;0;3;Offer E;Fiber Optic;23.0;Month-to-Month;No;Bank Withdrawal;69.65;55;0;1;0.0;0.0;Churned
2417;No;0;937;0;1;Offer E;Fiber Optic;53.0;Month-to-Month;Yes;Bank Withdrawal;89.9;20;3;1;0.0;0.0;Churned
2418;No;0;951;0;38;None;None;0.0;One Year;Yes;Bank Withdrawal;24.25;35;0;1;1.0;0.0;Customer
2419;Yes;0;921;1;13;Offer D;Fiber Optic;5.0;Month-to-Month;Yes;Bank Withdrawal;89.05;75;1;3;0.0;0.0;Churned
2420;Yes;0;904;1;68;Offer A;Fiber Optic;47.0;Two Year;Yes;Bank Withdrawal;110.0;25;3;5;0.0;0.0;Churned
2421;Yes;0;936;1;39;None;None;0.0;Two Year;Yes;Credit Card;23.8;40;0;1;0.0;0.0;Customer
2422;No;0;900;0;12;Offer D;None;0.0;Month-to-Month;No;Bank Withdrawal;25.0;35;0;1;0.0;0.0;Customer
2423;Yes;0;953;1;20;None;DSL;16.0;One Year;Yes;Bank Withdrawal;60.0;70;1;2;0.0;0.0;Customer
2424;No;0;925;0;1;None;Fiber Optic;19.0;Month-to-Month;Yes;Bank Withdrawal;73.65;80;0;2;0.0;0.0;Churned
2425;Yes;1;910;1;4;None;Fiber Optic;53.0;Month-to-Month;Yes;Credit Card;78.9;35;1;1;1.0;0.0;Customer
2426;No;1;957;0;28;Offer C;DSL;22.0;One Year;Yes;Credit Card;54.4;55;0;3;0.0;0.0;Customer
2427;No;0;913;0;1;Offer E;DSL;30.0;Month-to-Month;No;Credit Card;45.95;25;1;1;0.0;0.0;Churned
2428;Yes;0;950;1;58;None;None;0.0;One Year;Yes;Credit Card;24.5;45;0;1;1.0;0.0;Customer
2429;Yes;1;960;1;65;Offer B;None;0.0;Two Year;Yes;Credit Card;19.85;55;0;0;0.0;0.0;Customer
